SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
VK1/AC-001,Australia - Capital Territory,Australian Capital Territory,Bimberi Peak,1913,6276,148.79000,-35.65944,148.7900,-35.6594,10,3,01/02/2013,31/12/2099,7,19/04/2019,VK1FTRA,
VK1/AC-002,Australia - Capital Territory,Australian Capital Territory,Mt Gingera,1855,6086,148.77972,-35.57639,148.7797,-35.5764,10,3,01/02/2013,31/12/2099,38,01/01/2018,VK1FWBK/P,
VK1/AC-003,Australia - Capital Territory,Australian Capital Territory,Mt Murray,1845,6053,148.79139,-35.69000,148.7914,-35.6900,10,3,01/02/2013,31/12/2099,1,29/03/2013,VK3WAM/1,
VK1/AC-004,Australia - Capital Territory,Australian Capital Territory,Mt Kelly,1829,6001,148.87750,-35.71500,148.8775,-35.7150,10,3,01/02/2013,31/12/2099,1,31/03/2013,VK3WAM/1,
VK1/AC-005,Australia - Capital Territory,Australian Capital Territory,Mt Scabby,1798,5899,148.85889,-35.76056,148.8589,-35.7606,8,3,01/02/2013,31/12/2099,1,30/03/2013,VK3WAM/1,
VK1/AC-006,Australia - Capital Territory,Australian Capital Territory,Mt Namadgi,1781,5843,148.89000,-35.69611,148.8900,-35.6961,8,3,01/02/2013,31/12/2099,1,31/03/2013,VK3WAM/1,
VK1/AC-007,Australia - Capital Territory,Australian Capital Territory,Mt Ginger Ale,1770,5807,148.76833,-35.60306,148.7683,-35.6031,8,3,01/02/2013,31/12/2099,4,26/09/2015,VK1RX,
VK1/AC-008,Australia - Capital Territory,Australian Capital Territory,Mt Ginini,1760,5774,148.77194,-35.52917,148.7719,-35.5292,8,3,01/02/2013,31/12/2099,86,04/05/2019,VK1MA,
VK1/AC-009,Australia - Capital Territory,Australian Capital Territory,Mt Gudgenby,1739,5705,148.91000,-35.77167,148.9100,-35.7717,8,3,01/02/2013,31/12/2099,2,25/10/2015,VK1FJAW/P,
VK1/AC-010,Australia - Capital Territory,Australian Capital Territory,Sentry Box Mountain,1720,5643,148.90639,-35.82417,148.9064,-35.8242,8,3,01/02/2013,31/12/2099,2,13/07/2013,VK1NAM/P,
VK1/AC-011,Australia - Capital Territory,Australian Capital Territory,Mt Mavis,1705,5594,148.90417,-35.68500,148.9042,-35.6850,8,3,01/02/2013,31/12/2099,1,31/03/2013,VK3WAM/1,
VK1/AC-012,Australia - Capital Territory,Australian Capital Territory,Orroral Hill,1605,5266,148.93167,-35.64500,148.9317,-35.6450,6,3,01/02/2013,31/12/2099,4,03/05/2015,VK1FJAW/P,
