Latitude,Longitude,Elevation,SaddleLatitude,SaddleLongitude,Prominence
-10.0025,149.2692,3248,-10.0117,149.2767,676
-10.005,151.2358,3297,-10.0425,151.2258,876
-10.0083,149.7825,1788,-10.0133,149.7475,663
-10.01,149.3442,3950,-10.0008,149.335,670
-10.0117,151.2642,2217,-10.0367,151.2583,981
-10.0133,149.6133,5721,-10.02,149.6117,656
-10.0133,148.76,2132,-10.01,148.7667,522
-10.0142,120.0925,3444,-10.0567,120.1117,646
-10.0142,149.21,1879,-10.0133,149.215,492
-10.0158,149.455,5413,-10.0017,149.4683,879
-10.0192,151.2,2979,-10.0508,151.1925,683
-10.0192,124.4033,2250,-10.0125,124.4133,528
-10.0208,148.8608,2378,-10.0292,148.8683,525
-10.0225,149.0208,2575,-10.0075,149.0317,817
-10.0233,149.1117,1804,-10.025,149.0967,522
-10.0242,149.5167,8392,-10.0308,149.5292,755
-10.0258,149.0675,3044,-10.0108,149.0558,1306
-10.0292,149.2725,2749,-10.0233,149.2767,725
-10.03,148.9083,984,-10.0225,148.9025,578
-10.0333,149.1708,2739,-10.0433,149.1883,1263
-10.0358,149.5458,8536,-10.035,149.5517,682
-10.0358,148.88,2539,-10.01,148.8525,863
-10.0392,149.7175,4442,-10.0617,149.725,571
-10.0392,148.7833,2198,-10.0342,148.7992,922
-10.0442,149.4125,2578,-10.0375,149.4158,833
-10.0467,149.445,3864,-10.0583,149.4692,600
-10.0475,149.3408,2162,-10.0475,149.3533,765
-10.0475,149.38,3074,-10.025,149.38,778
-10.0483,151.0075,2814,-10.0583,151.0083,820
-10.0492,148.9875,1955,-10.0317,148.99,689
-10.0542,149.1992,2421,-10.0658,149.2192,610
-10.0575,124.4225,3146,-10.0175,124.465,1470
-10.0608,120.1508,3582,-10.0858,120.155,1604
-10.0608,149.6517,8205,-10.0592,149.6167,1536
-10.065,149.2908,1476,-10.06,149.2775,548
-10.07,151.2083,3966,-10.085,151.1983,722
-10.07,149.3742,2896,-10.055,149.3742,1003
-10.0708,149.2425,2142,-10.0758,149.2392,502
-10.0742,149.8608,4294,-10.0858,149.855,541
-10.0742,149.4283,3034,-10.0842,149.4458,636
-10.0758,148.8375,1715,-10.0775,148.8608,971
-10.0767,120.1758,3300,-10.1008,120.1883,1155
-10.0775,120.5417,2326,-10.1008,120.5217,640
-10.0792,149.3092,1633,-10.0767,149.3192,836
-10.08,149.2308,2470,-10.0858,149.2308,627
-10.08,149.0825,1476,-10.06,149.0792,561
-10.0808,149.7117,4924,-10.0908,149.7008,1181
-10.0825,149.7883,5531,-10.1492,149.8167,2073
-10.0842,149.0383,2158,-10.0692,149.0383,557
